url,title,author,publisher,isbn,page,country,language,category,rating,numberOfRating,numberOfReview,orginalPrice,sellPrice,summery,imageUrl
https://www.rokomari.com//book/129406/migrant-tales,পরবাসীকথা , দেবব্রত বসু , জাকির হোসেন খোকন , ,9789849256304,"1st Published, 2017",67, কবিতা সমগ্র ,5.0,1,,180,155,“পরবাসীকথা” বইটির সূচিপত্র,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/3a7cffa012b4_129406.jpg
https://www.rokomari.com//book/122497/shohoj-nahbemir-forashi-bangla,সহজ নাহবেমীর [ফরাসী-বাংলা], মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী , মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী , ,112,Bangladesh,Bangla & Arabic, Translated Islamic Books ,5.0,1,,160,96,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/871a064d66e4_122497.jpg
https://www.rokomari.com//book/229295/hsc-chemistry-1st-part-pocket-book,এইচ. এস. সি রসায়ন ১ম পত্র পকেট বুক , মোঃ নাজমুস সাকিব , 10 Minute School , ,"1st Published February, 2022",256,Bangladesh, HSC Science Department: Pattho Sohayika ,3.66,47,21,270,242,"১। এক নজরেই সম্পূর্ণ রসায়ন ১ম পত্র বইয়ের রিভিশন যা যা দেখে যাওয়া দরকার সব পাবে পকেট সাইজের বইটিতে, আর সাথে থাকা QR Code Scan করলে পেয়ে যাবে ব্যাখ্যামূলক ভিডিও ",https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/Hsc_Rosayon_1st_Part-Moyenul_Hasan-04926-229295.jpg
https://www.rokomari.com//book/229296/hsc-rosayon-2nd-part-pocket-book,এইচএসসি রসায়ন ২য় পত্র (পকেট বুক), মঈনুল হাসান , 10 Minute School , ,"1st Published February, 2022",288,Bangladesh, HSC Science Department: Pattho Sohayika ,3.21,43,19,270,242,"১। এক নজরেই সম্পূর্ণ রসায়ন ২য় পত্র বইয়ের রিভিশন যা যা দেখে যাওয়া দরকার সব পাবে পকেট সাইজের বইটিতে, আর সাথে থাকা QR Code Scan করলে পেয়ে যাবে ব্যাখ্যামূলক ভিডিও ",https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/HSC_Rosayon_2nd_Part_Pocket_Book-Moyenul_Hasan-942ac-229296.jpg
https://www.rokomari.com//book/187044/electrical-engineering-vol-2-for-gate-exam-2020,Electrical Engineering Vol-2 For Gate Exam 2020, Umesh Dhande , Gate Academy Publications (India) ,"1st Published, 2019",601,India,English, Electrical & Electronic Engineering ,5.0,1,,0,0,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/ed21cb3cf_187044.jpg
https://www.rokomari.com//book/200651/dhaka-university-admission-test-question-bank-g-unit-session-2022-2023,ঢাকা বিশ্ববিদ্যালয় ভর্তি পরীক্ষার প্রশ্নব্যাংক - ব্যবসায় শিক্ষা (গ-ইউনিট) সেশন- ২০২২ -২০২৩ , Uniaid , ইউনিএইড ,18th Edition: December 2022,107,বাংলাদেশ,বাংলা, ব্যবসায় শিক্ষা ভর্তি প্রস্তুতি ,2.0,2,,150,131,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/Dhaka_University_Admission_Test_Question--b60af-200651.jpg
https://www.rokomari.com//book/102183/lubabun-nukul-fe-asbabin-nujul-kitabu-asbabin-nujul,لباب النقول في اساب النزول/ كتاب اسباب النزول (লুবাবুন নুকুল ফী আসবাবিন নুযুল/ কিতাবু আসবাবিন নুযুল), للامام الحافظ جلال الدين عبد الرحمن بن ابي بكر السيوطي (ইমাম হাফেজ জালালুদ্দিন আব্দুর রামান বিন আবী বকর আস সুয়ুতী) , Maktabatul Haramain ,2005,453,Bangladesh,Arabic, Arabic & Urdu Languages Books ,5.0,1,,0,450, ,
https://www.rokomari.com//book/203150/sofol-udyokta,সফল উদ্যোক্তা, Subroto Bagchi , ত্বাইরান আবির , ,9789849439332,"1st Published, 2020",216, উদ্যোক্তা ,4.67,70,48,400,320," centeriframe width=""560"" height=""315"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen/iframecenter",https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/e2bcc23ba_203150.jpg
https://www.rokomari.com//book/85346/the-high-performance-entrepreneur,The High-performance Entrepreneur, Subroto Bagchi , Penguin group ,9780143064268,"1st Edition, 2008",246,Abroad , Entrepreneur ,4.44,25,10,0,630,Summary of the Book,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/The_High_performance_Entrepreneur-Subroto_Bagchi-51ab9-85346.jpg
https://www.rokomari.com//book/206170/interview-series-15,অক্টাভিও পাজের (ইন্টারভিউ সিরিজ-১৫), অক্টাভিও পাজ , তাসনিম রিফাত , ,"1st Published, 2020",48,বাংলাদেশ, সাক্ষাৎকার ,5.0,1,,100,97,"ফ্রিডম আর ফেটের এই দ্বন্দ্বটা গ্রিক ট্রাজেডি আর শেক্সপিয়ারের কমন থিম। যদিও শেক্সপিয়ারের মধ্যে ফেট আবেগের মামলা (ভালােবাসা, হিংসা, আকাঙ্খ, কাউরে দেখতে না পারা) এইসব আকারে হাজির হয়। আর স্প্যানিশ থিয়েটারে বিশেষ কইরা ক্যালডেরন, তিরসাে দে মলিনার মধ্যে, ক্রিশ্চিয়ান থিওলজির আকারে ফ্রিডমের রহস্যটা হাজির হয়ঃ কোন পবিত্র দৈব ব্যাপার আর স্বাধীন ইচ্ছার মধ্য দিয়া। কন্ডিশনাল ফ্রিডমের এই আইডিয়া ব্যক্তিগত দায়িত্বের ব্যাপারটারে বুঝায়। আমাদের মধ্যে সবাই, আক্ষরিকভাবেই, হয় তার নিজের ফ্রিডমরে গইড়া তুলে, আর নাইলে সেটারে ধ্বংস করে। ফ্রিডমের ব্যাপারটা সবসময়ই অনিশ্চিত একটা জিনিস।... কবিতা আর ফ্রিডম এই দুই জিনিস একটা অর্ডারের উপ্রে দাঁড়াইয়া থাকে; সেটা হইলাে ভাষা।... এনলাইটেনমেন্টের সময় লিটারেচার, ফিলসফি আর পলিটিক্সের একটা শক্ত কানেকশন ছিল।",https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/e01d2128a_206170.jpg
